Table 1
,,,,,,
,Scientific name,English name,Family,Global IUCN Red List Category,,
,Toxostoma guttatum,Cozumel Thrasher,Mimidae (Mockingbirds and thrashers),CR,,
,Toxostoma bendirei,Bendire's Thrasher,Mimidae (Mockingbirds and thrashers),VU,,
,Myadestes myadestinus,Kamao,Turdidae (Thrushes),EX,,
,Myadestes lanaiensis,Olomao,Turdidae (Thrushes),CR (PE),,
,Myadestes obscurus,Omao,Turdidae (Thrushes),VU,,
,Myadestes palmeri,Puaiohi,Turdidae (Thrushes),CR,,
,Geomalia heinrichi,Geomalia,Turdidae (Thrushes),NT,,
,Zoothera turipavae,Guadalcanal Thrush,Turdidae (Thrushes),VU,,
,Zoothera margaretae,Makira Thrush,Turdidae (Thrushes),NT,,
,Zoothera talaseae,New Britain Thrush,Turdidae (Thrushes),LC,,
,Zoothera atrigena,Bougainville Thrush,Turdidae (Thrushes),NT,,
,Zoothera terrestris,Bonin Thrush,Turdidae (Thrushes),EX,,
,Catharus bicknelli,Bicknell's Thrush,Turdidae (Thrushes),VU,,
,Geokichla guttata,Spotted Ground-thrush,Turdidae (Thrushes),EN,,
,Turdus helleri,Taita Thrush,Turdidae (Thrushes),CR,,
,Turdus merula,Eurasian Blackbird,Turdidae (Thrushes),LC,,
,Turdus lherminieri,Forest Thrush,Turdidae (Thrushes),NT,,
,Turdus eremita,Tristan Thrush,Turdidae (Thrushes),NT,,
,Turdus xanthorhynchus,Principe Thrush,Turdidae (Thrushes),CR,,
,Turdus olivaceofuscus,Sao Tome Thrush,Turdidae (Thrushes),LC,,
,Turdus celaenops,Izu Thrush,Turdidae (Thrushes),VU,,
,Copsychus sechellarum,Seychelles Magpie-robin,Muscicapidae (Chats and Old World flycatchers),EN,,
,Humblotia flavirostris,Humblot's Flycatcher,Muscicapidae (Chats and Old World flycatchers),EN,,
,Swynnertonia swynnertoni,Swynnerton's Robin,Muscicapidae (Chats and Old World flycatchers),VU,,
,Stiphrornis erythrothorax,Orange-breasted Forest-robin,Muscicapidae (Chats and Old World flycatchers),LC,,
,Stiphrornis xanthogaster,Yellow-breasted Forest-robin,Muscicapidae (Chats and Old World flycatchers),LC,,
,Sheppardia gunningi,East Coast Akalat,Muscicapidae (Chats and Old World flycatchers),NT,,
,Larvivora tanensis,Izu Robin,Muscicapidae (Chats and Old World flycatchers),VU,,
,Larvivora komadori,Ryukyu Robin,Muscicapidae (Chats and Old World flycatchers),NT,,
,Larvivora namiyei,Okinawa Robin,Muscicapidae (Chats and Old World flycatchers),NT,,
,Cyanecula svecica,Bluethroat,Muscicapidae (Chats and Old World flycatchers),LC,,
,Ficedula henrici,Damar Flycatcher,Muscicapidae (Chats and Old World flycatchers),NT,,
,Saxicola dacotiae,Fuerteventura Stonechat,Muscicapidae (Chats and Old World flycatchers),NT,,
,Moho braccatus,Kauai Oo,Mohoidae (Hawaiian honeyeaters),EX,,
,Moho apicalis,Oahu Oo,Mohoidae (Hawaiian honeyeaters),EX,,
,Moho bishopi,Bishop's Oo,Mohoidae (Hawaiian honeyeaters),EX,,
,Moho nobilis,Hawaii Oo,Mohoidae (Hawaiian honeyeaters),EX,,
,Chaetoptila angustipluma,Kioea,Mohoidae (Hawaiian honeyeaters),EX,,
,Dicaeum quadricolor,Cebu Flowerpecker,Dicaeidae (Flowerpeckers),CR,,
,Cinnyris neergaardi,Neergaard's Sunbird,Nectariniidae (Sunbirds),NT,,
,Foudia aldabrana,Aldabra Fody,Ploceidae (Weavers and allies),EN,,
,Foudia consobrina,Grand Comoro Fody,Ploceidae (Weavers and allies),NT,,
,Foudia eminentissima,Red-headed Fody,Ploceidae (Weavers and allies),LC,,
,Foudia delloni,Reunion Fody,Ploceidae (Weavers and allies),EX,,
,Foudia rubra,Mauritius Fody,Ploceidae (Weavers and allies),EN,,
,Foudia sechellarum,Seychelles Fody,Ploceidae (Weavers and allies),NT,,
,Foudia flavicans,Rodrigues Fody,Ploceidae (Weavers and allies),NT,,
,Ploceus batesi,Bates's Weaver,Ploceidae (Weavers and allies),EN,,
,Ploceus grandis,Giant Weaver,Ploceidae (Weavers and allies),NT,,
,Ploceus megarhynchus,Finn's Weaver,Ploceidae (Weavers and allies),VU,,
,Malimbus ibadanensis,Ibadan Malimbe,Ploceidae (Weavers and allies),EN,,
,Lonchura stygia,Black Mannikin,"Estrildidae (Waxbills, grass finches, munias and allies)",NT,,
,Lonchura oryzivora,Java Sparrow,"Estrildidae (Waxbills, grass finches, munias and allies)",EN,,
,Heteromunia pectoralis,Pictorella Mannikin,"Estrildidae (Waxbills, grass finches, munias and allies)",LC,,
,Stagonopleura guttata,Diamond Firetail,"Estrildidae (Waxbills, grass finches, munias and allies)",LC,,
,Neochmia ruficauda,Star Finch,"Estrildidae (Waxbills, grass finches, munias and allies)",LC,,
,Poephila cincta,Black-throated Finch,"Estrildidae (Waxbills, grass finches, munias and allies)",LC,,
,Chloebia gouldiae,Gouldian Finch,"Estrildidae (Waxbills, grass finches, munias and allies)",NT,,
,Anthus sokokensis,Sokoke Pipit,Motacillidae (Wagtails and pipits),EN,,
,Anthus spragueii,Sprague's Pipit,Motacillidae (Wagtails and pipits),VU,,
,Anthus nattereri,Ochre-breasted Pipit,Motacillidae (Wagtails and pipits),VU,,
,Anthus antarcticus,South Georgia Pipit,Motacillidae (Wagtails and pipits),NT,,
,Hemimacronyx chloris,Yellow-breasted Pipit,Motacillidae (Wagtails and pipits),VU,,
,Amaurocichla bocagii,Sao Tome Short-tail,Motacillidae (Wagtails and pipits),VU,,
,Fringilla teydea,Tenerife Blue Chaffinch,Fringillidae (Finches and Hawaiian honeycreepers),NT,,
,Fringilla polatzeki,Gran Canaria Blue Chaffinch,Fringillidae (Finches and Hawaiian honeycreepers),EN,,
,Hesperiphona vespertina,Evening Grosbeak,Fringillidae (Finches and Hawaiian honeycreepers),VU,,
,Melamprosops phaeosoma,Poo-uli,Fringillidae (Finches and Hawaiian honeycreepers),EX,,
,Paroreomyza maculata,Oahu Alauahio,Fringillidae (Finches and Hawaiian honeycreepers),CR (PE),,
,Paroreomyza flammea,Kakawahie,Fringillidae (Finches and Hawaiian honeycreepers),EX,,
,Paroreomyza montana,Maui Alauahio,Fringillidae (Finches and Hawaiian honeycreepers),EN,,
,Oreomystis bairdi,Akikiki,Fringillidae (Finches and Hawaiian honeycreepers),CR,,
,Telespiza cantans,Laysan Finch,Fringillidae (Finches and Hawaiian honeycreepers),VU,,
,Telespiza ultima,Nihoa Finch,Fringillidae (Finches and Hawaiian honeycreepers),CR,,
,Chloridops kona,Kona Grosbeak,Fringillidae (Finches and Hawaiian honeycreepers),EX,,
,Loxioides bailleui,Palila,Fringillidae (Finches and Hawaiian honeycreepers),CR,,
,Psittirostra psittacea,Ou,Fringillidae (Finches and Hawaiian honeycreepers),CR (PE),,
,Dysmorodrepanis munroi,Lanai Hookbill,Fringillidae (Finches and Hawaiian honeycreepers),EX,,
,Akialoa stejnegeri,Kauai Akialoa,Fringillidae (Finches and Hawaiian honeycreepers),EX,,
,Akialoa ellisiana,Oahu Akialoa,Fringillidae (Finches and Hawaiian honeycreepers),EX,,
,Akialoa lanaiensis,Lanai Akialoa,Fringillidae (Finches and Hawaiian honeycreepers),EX,,
,Akialoa obscura,Hawaii Akialoa,Fringillidae (Finches and Hawaiian honeycreepers),EX,,
,Hemignathus hanapepe,Kauai Nukupuu,Fringillidae (Finches and Hawaiian honeycreepers),CR (PE),,
,Hemignathus lucidus,Oahu Nukupuu,Fringillidae (Finches and Hawaiian honeycreepers),EX,,
,Hemignathus affinis,Maui Nukupuu,Fringillidae (Finches and Hawaiian honeycreepers),CR (PE),,
,Hemignathus wilsoni,Akiapolaau,Fringillidae (Finches and Hawaiian honeycreepers),EN,,
,Pseudonestor xanthophrys,Maui Parrotbill,Fringillidae (Finches and Hawaiian honeycreepers),CR,,
,Magumma parva,Anianiau,Fringillidae (Finches and Hawaiian honeycreepers),VU,,
,Manucerthia mana,Hawaii Creeper,Fringillidae (Finches and Hawaiian honeycreepers),EN,,
,Loxops caeruleirostris,Akekee,Fringillidae (Finches and Hawaiian honeycreepers),CR,,
,Loxops wolstenholmei,Oahu Akepa,Fringillidae (Finches and Hawaiian honeycreepers),EX,,
,Loxops ochraceus,Maui Akepa,Fringillidae (Finches and Hawaiian honeycreepers),CR (PE),,
,Loxops coccineus,Hawaii Akepa,Fringillidae (Finches and Hawaiian honeycreepers),EN,,
,Chlorodrepanis stejnegeri,Kauai Amakihi,Fringillidae (Finches and Hawaiian honeycreepers),VU,,
,Chlorodrepanis flava,Oahu Amakihi,Fringillidae (Finches and Hawaiian honeycreepers),VU,,
,Drepanis funerea,Black Mamo,Fringillidae (Finches and Hawaiian honeycreepers),EX,,
,Drepanis pacifica,Hawaii Mamo,Fringillidae (Finches and Hawaiian honeycreepers),EX,,
,Drepanis coccinea,Iiwi,Fringillidae (Finches and Hawaiian honeycreepers),VU,,
,Himatione fraithii,Laysan Honeycreeper,Fringillidae (Finches and Hawaiian honeycreepers),EX,,
,Palmeria dolei,Akohekohe,Fringillidae (Finches and Hawaiian honeycreepers),CR,,
,Ciridops anna,Ula-ai-hawane,Fringillidae (Finches and Hawaiian honeycreepers),EX,,
,Carpodacus ferreorostris,Bonin Grosbeak,Fringillidae (Finches and Hawaiian honeycreepers),EX,,
,Pyrrhula murina,Azores Bullfinch,Fringillidae (Finches and Hawaiian honeycreepers),VU,,
,Haemorhous cassinii,Cassin's Finch,Fringillidae (Finches and Hawaiian honeycreepers),LC,,
,Crithagra concolor,Sao Tome Grosbeak,Fringillidae (Finches and Hawaiian honeycreepers),CR,,
,Crithagra leucoptera,Protea Canary,Fringillidae (Finches and Hawaiian honeycreepers),NT,,
,Loxia megaplaga,Hispaniolan Crossbill,Fringillidae (Finches and Hawaiian honeycreepers),EN,,
,Calcarius ornatus,Chestnut-collared Longspur,Calcariidae (Longspurs),VU,,
,Plectrophenax hyperboreus,McKay's Bunting,Calcariidae (Longspurs),LC,,
,Emberiza jankowskii,Jankowski's Bunting,"Emberizidae (Buntings, American sparrows and allies)",EN,,
,Emberiza socotrana,Socotra Bunting,"Emberizidae (Buntings, American sparrows and allies)",NT,,
,Spizella wortheni,Worthen's Sparrow,Passerellidae (New World sparrows),EN,,
,Pipilo socorroensis,Socorro Towhee,Passerellidae (New World sparrows),EN,,
,Pipilo naufragus,Bermuda Towhee,Passerellidae (New World sparrows),EX,,
,Atlapetes blancae,Antioquia Brush-finch,Passerellidae (New World sparrows),CR,,
,Atlapetes pallidiceps,Pale-headed Brush-finch,Passerellidae (New World sparrows),EN,,
,Melozone cabanisi,Costa Rican Ground-sparrow,Passerellidae (New World sparrows),NT,,
,Junco insularis,Guadalupe Junco,Passerellidae (New World sparrows),EN,,
,Ammospiza caudacuta,Saltmarsh Sparrow,Passerellidae (New World sparrows),EN,,
,Passerculus sanctorum,San Benito Sparrow,Passerellidae (New World sparrows),NT,,
,Xenospiza baileyi,Sierra Madre Sparrow,Passerellidae (New World sparrows),EN,,
,Icterus northropi,Bahama Oriole,Icteridae (New World blackbirds),CR,,
,Icterus bonana,Martinique Oriole,Icteridae (New World blackbirds),VU,,
,Icterus oberi,Montserrat Oriole,Icteridae (New World blackbirds),VU,,
,Icterus laudabilis,St Lucia Oriole,Icteridae (New World blackbirds),EN,,
,Nesopsar nigerrimus,Jamaican Blackbird,Icteridae (New World blackbirds),EN,,
,Agelaius xanthomus,Yellow-shouldered Blackbird,Icteridae (New World blackbirds),EN,,
,Agelaius tricolor,Tricolored Blackbird,Icteridae (New World blackbirds),EN,,
,Hypopyrrhus pyrohypogaster,Red-bellied Grackle,Icteridae (New World blackbirds),VU,,
,Anumara forbesi,Forbes's Blackbird,Icteridae (New World blackbirds),VU,,
,Xanthopsar flavus,Saffron-cowled Blackbird,Icteridae (New World blackbirds),EN,,
,Vermivora chrysoptera,Golden-winged Warbler,Parulidae (New World warblers),NT,,
,Leiothlypis crissalis,Colima Warbler,Parulidae (New World warblers),LC,,
,Leucopeza semperi,Semper's Warbler,Parulidae (New World warblers),CR,,
,Setophaga kirtlandii,Kirtland's Warbler,Parulidae (New World warblers),NT,,
,Setophaga cerulea,Cerulean Warbler,Parulidae (New World warblers),NT,,
,Setophaga graysoni,Socorro Parula,Parulidae (New World warblers),NT,,
,Setophaga flavescens,Bahama Warbler,Parulidae (New World warblers),EN,,
,Setophaga subita,Barbuda Warbler,Parulidae (New World warblers),VU,,
,Setophaga chrysoparia,Golden-cheeked Warbler,Parulidae (New World warblers),EN,,
,Cardellina versicolor,Pink-headed Warbler,Parulidae (New World warblers),LC,,
,Xenoligea montana,White-winged Warbler,Phaenicophilidae (Hispaniolan tanagers),VU,,
,Granatellus francescae,Tres Marias Chat,"Cardinalidae (Grosbeaks, saltators and allies)",NT,,
,Passerina ciris,Painted Bunting,"Cardinalidae (Grosbeaks, saltators and allies)",LC,,
,Coryphaspiza melanotis,Black-masked Finch,Thraupidae (Tanagers),VU,,
,Pyrrhulagra taylori,Grand Cayman Bullfinch,Thraupidae (Tanagers),NT,,
,Melanospiza richardsoni,St Lucia Black Finch,Thraupidae (Tanagers),EN,,
,Certhidea olivacea,Green Warbler-finch,Thraupidae (Tanagers),VU,,
,Pinaroloxias inornata,Cocos Finch,Thraupidae (Tanagers),VU,,
,Geospiza psittacula,Large Tree-finch,Thraupidae (Tanagers),VU,,
,Geospiza pauper,Medium Tree-finch,Thraupidae (Tanagers),CR,,
,Geospiza heliobates,Mangrove Finch,Thraupidae (Tanagers),CR,,
,Geospiza pallida,Woodpecker Finch,Thraupidae (Tanagers),VU,,
,Geospiza septentrionalis,Vampire Ground-finch,Thraupidae (Tanagers),VU,,
,Geospiza acutirostris,Genovesa Ground-finch,Thraupidae (Tanagers),VU,,
,Geospiza conirostris,Espanola Cactus-finch,Thraupidae (Tanagers),VU,,
,Geospiza propinqua,Genovesa Cactus-finch,Thraupidae (Tanagers),VU,,
,Sporophila cinnamomea,Chestnut Seedeater,Thraupidae (Tanagers),VU,,
,Sporophila palustris,Marsh Seedeater,Thraupidae (Tanagers),EN,,
,Sporophila melanogaster,Black-bellied Seedeater,Thraupidae (Tanagers),NT,,
,Microspingus cinereus,Cinereous Warbling-finch,Thraupidae (Tanagers),LC,,
,Nesospiza acunhae,Inaccessible Finch,Thraupidae (Tanagers),VU,,
,Nesospiza questi,Nightingale Finch,Thraupidae (Tanagers),VU,,
,Nesospiza wilkinsi,Wilkins's Finch,Thraupidae (Tanagers),EN,,
,Rowettia goughensis,Gough Finch,Thraupidae (Tanagers),CR,,
,Gubernatrix cristata,Yellow Cardinal,Thraupidae (Tanagers),EN,,
